City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,42.6001,-73.9662,34.29,50,4,3.0
1,Cabo San Lucas,MX,22.8909,-109.9124,63.61,70,8,3.91
2,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,88,40,23.02
3,Rikitea,PF,-23.1203,-134.9692,73.6,74,63,11.39
4,Lensk,RU,60.7253,114.9278,-16.49,95,100,8.37
5,Hobart,AU,-42.8794,147.3294,53.46,66,100,3.44
6,Kansanshi,ZM,-12.0951,26.4273,74.14,67,74,3.83
7,Ribeira Grande,PT,38.5167,-28.7,68.4,68,75,11.5
8,Busselton,AU,-33.65,115.3333,55.74,88,0,10.36
9,Nanortalik,GL,60.1432,-45.2371,26.56,75,4,31.52
10,Aktau,KZ,43.65,51.2,28.98,34,0,13.15
11,Nishihara,JP,26.1842,127.7558,65.48,72,75,16.11
12,Ugoofaaru,MV,5.6667,73.0,81.07,72,7,2.82
13,Pevek,RU,69.7008,170.3133,26.38,77,64,27.42
14,Pinawa,CA,50.1489,-95.8811,8.87,87,100,7.49
15,Henties Bay,NA,-22.116,14.2845,65.44,77,6,16.55
16,Iqaluit,CA,63.7506,-68.5145,4.73,60,100,18.41
17,Cape Town,ZA,-33.9258,18.4232,80.11,56,20,12.66
18,Hermanus,ZA,-34.4187,19.2345,73.8,72,81,13.0
19,Andros Town,BS,24.7,-77.7667,76.96,72,35,13.22
20,Sinnamary,GF,5.3833,-52.95,82.22,73,98,10.76
21,Hambantota,LK,6.1241,81.1185,77.34,100,40,1.14
22,Bluff,NZ,-46.6,168.3333,50.81,68,48,19.82
23,Uporovo,RU,56.3109,66.2693,5.83,80,100,6.26
24,Dauriya,RU,49.9333,116.8667,1.96,92,100,12.21
25,Esperance,AU,-33.8667,121.9,64.87,90,2,18.81
26,Shieli,KZ,44.1667,66.75,17.58,78,0,4.52
27,Hermosillo,MX,29.0667,-110.9667,59.85,61,92,1.99
28,Kandrian,PG,-6.2167,149.55,78.13,88,100,5.64
29,San Cristobal,VE,7.7669,-72.225,64.58,85,76,4.5
30,Port Elizabeth,ZA,-33.918,25.5701,78.1,70,40,13.8
31,Nacala,MZ,-14.5428,40.6728,83.52,65,75,9.22
32,Rundu,NA,-17.9333,19.7667,97.41,12,5,9.51
33,Washington,US,47.5001,-120.5015,21.92,83,100,3.53
34,Ushuaia,AR,-54.8,-68.3,56.86,47,40,16.11
35,Jinka,ET,5.65,36.65,83.82,21,99,2.53
36,Muriwai Beach,NZ,-36.8167,174.45,58.42,82,100,13.8
37,Mataura,NZ,-46.1927,168.8643,50.49,90,82,8.12
38,Tigil,RU,57.8,158.6667,3.34,93,96,5.12
39,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,84,99,19.15
40,Ust-Kuyga,RU,70.0167,135.6,-7.58,99,100,3.89
41,Punta Arenas,CL,-53.15,-70.9167,55.51,47,40,41.43
42,Mar Del Plata,AR,-38.0023,-57.5575,62.94,97,100,17.0
