City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-11-29 21:38:22,-53.15,-70.9167,48.31,57,75,26.46
1,Sawtell,AU,2022-11-29 21:38:22,-30.3833,153.1,66.22,77,100,9.22
2,Arraial Do Cabo,BR,2022-11-29 21:35:48,-22.9661,-42.0278,73.36,88,75,17.27
3,Ballybofey,IE,2022-11-29 21:38:23,54.8,-7.7833,42.15,91,100,6.93
4,Tooele,US,2022-11-29 21:38:23,40.5308,-112.2983,30.33,43,0,5.75
5,Port Alfred,ZA,2022-11-29 21:38:23,-33.5906,26.891,70.99,84,65,16.4
6,Georgetown,MY,2022-11-29 21:34:45,5.4112,100.3354,79.23,95,20,3.44
7,Thompson,CA,2022-11-29 21:38:24,55.7435,-97.8558,3.36,78,100,17.27
8,Kodiak,US,2022-11-29 21:38:24,57.79,-152.4072,33.31,40,0,20.71
9,Alofi,NU,2022-11-29 21:38:25,-19.0595,-169.9187,82.29,74,75,11.5
10,Chuy,UY,2022-11-29 21:38:25,-33.6971,-53.4616,69.22,77,6,13.06
11,Provideniya,RU,2022-11-29 21:38:25,64.3833,-173.3,33.91,93,100,15.66
12,Pevek,RU,2022-11-29 21:34:26,69.7008,170.3133,8.13,96,99,5.86
13,Mayumba,GA,2022-11-29 21:38:26,-3.432,10.6554,76.42,87,93,1.5
14,Rikitea,PF,2022-11-29 21:38:26,-23.1203,-134.9692,72.34,74,88,16.75
15,Bundaberg,AU,2022-11-29 21:38:26,-24.85,152.35,71.22,99,100,1.01
16,Saint George,US,2022-11-29 21:38:27,37.1041,-113.5841,51.26,22,0,5.99
17,Vaini,TO,2022-11-29 21:38:27,-21.2,-175.2,82.56,69,20,13.8
18,Vardo,NO,2022-11-29 21:38:27,70.3705,31.1107,35.58,75,75,19.57
19,Dikson,RU,2022-11-29 21:38:28,73.5069,80.5464,9.45,97,100,7.27
20,Thaton,MM,2022-11-29 21:38:28,16.9206,97.3714,75.94,89,100,2.55
21,Zhigansk,RU,2022-11-29 21:38:29,66.7697,123.3711,-43.44,99,60,4.45
22,Karratha,AU,2022-11-29 21:38:29,-20.7377,116.8463,78.4,64,11,6.53
23,Norman Wells,CA,2022-11-29 21:38:29,65.282,-126.8329,-30.96,68,75,2.3
24,Port Blair,IN,2022-11-29 21:38:30,11.6667,92.75,78.84,89,20,2.3
25,Adolfo Lopez Mateos,MX,2022-11-29 21:38:30,28.4667,-107.3,63.93,21,0,24.45
26,Hualmay,PE,2022-11-29 21:38:30,-11.0964,-77.6139,70.61,75,41,10.0
27,Avarua,CK,2022-11-29 21:38:31,-21.2078,-159.775,80.65,74,20,16.11
28,Mataura,NZ,2022-11-29 21:38:01,-46.1927,168.8643,59.49,62,100,6.78
29,Maragogi,BR,2022-11-29 21:38:31,-9.0122,-35.2225,78.03,79,97,12.26
30,Hofn,IS,2022-11-29 21:38:31,64.2539,-15.2082,44.24,84,100,5.97
31,Novobiryusinskiy,RU,2022-11-29 21:38:32,56.9578,97.7076,-5.06,90,100,8.99
32,Riyadh,SA,2022-11-29 21:38:32,24.6877,46.7219,64.54,31,100,7.58
33,Victoria Point,AU,2022-11-29 21:38:32,-27.5833,153.3,73.81,82,100,10.0
34,Ducheng,CN,2022-11-29 21:38:33,23.2373,111.5317,61.38,91,100,7.14
35,Khatanga,RU,2022-11-29 21:38:33,71.9667,102.5,-9.58,91,74,6.51
